Belgium,,,Antwerpen,2100
Belgium,,,Beerse,2340
Belgium,,,Brussel,1000
Belgium,,,Turnhout,2300
India,Karnataka,,Bangalore,111111
India,Karnataka,,Bangalore,111112
India,Karnataka,,Bangalore,111113
India,Karnataka,,Mangalore,111114
India,Karnataka,,Mangalore,111115
India,Maharashtra,,Mumbai,222220
India,Maharashtra,,Mumbai,222221
India,Maharashtra,,Mumbai,222222
India,Maharashtra,,Mumbai,222223
India,Maharashtra,,Mumbai,222224
India,Maharashtra,,Pune,222230
India,Maharashtra,,Pune,222231
India,Maharashtra,,Pune,222232
India,Maharashtra,,Pune,222233
India,Maharashtra,,Pune,222234
Phillipines,Manila,Quezon City,Brgy. Random,1100
Rwanda,Eastern province,Gatsibo,Kiziguro,111113
Rwanda,Eastern province,Gatsibo,Muhura,111114
Rwanda,Eastern province,Nyagatare,Musheli,111111
Rwanda,Eastern province,Nyagatare,Rukomo,111112
Rwanda,Northern province,Burera,Rabuge,111116
Rwanda,Northern province,Burera,Ruhunde,111115
Rwanda,Northern province,Gakenke,Busengo,111118
Rwanda,Northern province,Gakenke,Coko,111117
Rwanda,Western province,Karongi,Murundi,111120
Rwanda,Western province,Karongi,Mutuntu,111119
Rwanda,Western province,Ngororero,Kageyo,111121
Rwanda,Western province,Ngororero,Kavumu,111122
USA,Alabama,,Birmingham,35201
USA,Alabama,,Montgomery,36013
USA,Alabama,,Montgomery,36117
USA,Alaska,,Anchorage,99501
USA,Alaska,,Juneau,99812
USA,Georgia,,Atlanta,30060
